fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,1603631,278.903809372566,10,1473,0,158,3,70854,711566,15375,9744,648787,410535,0,1984.58468019999,65040,103037,228278,448321,0,254286,487154,71012,1984.58468019999,369641,82,58.86,71.84,100,NA
2025-2026,April,02,ANDHRA PRADESH,0218,NTR,366507,294.129452246272,9,789,0,7,8,25431,535843,186168,121548,40118,23432,0,1576.07208079999,54083,77746,173331,320695,0,215403,388640,25438,1576.07208079999,318305,37,74.86,90.14,100,NA
2025-2026,April,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,641749,270.102450816629,9,597,0,97,30,39129,312504,39464,64210,14971,24765,0,844.080962899999,33171,51538,209794,398835,0,282652,523397,39226,844.080962899999,170076,58,57.34,84.37,100,NA
2025-2026,April,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,165414,254.30837649676,14,152,0,10,3,5510,272337,21110,4270,1309,468,0,692.57580329998,19285,24136,31200,49863,0,36604,56438,5520,692.57580329998,205467,56,3.71,98.36,100,NA
2025-2026,April,02,ANDHRA PRADESH,0204,EAST GODAVARI,466076,260.628364467699,11,978,0,1183,2,22091,490776,179533,71370,11104,3241,0,1279.10146199999,41095,48015,123278,196999,0,168964,260710,23274,1279.10146199999,280128,49,39.74,89.58,100,NA
2025-2026,April,02,ANDHRA PRADESH,0207,GUNTUR,397285,194.924981701142,11,182,0,51,34,18514,199466,84065,69597,5328,5555,0,388.809064,17997,26008,88369,154965,0,136807,229308,18565,388.809064,110334,43,91.46,90.41,100,NA
2025-2026,April,02,ANDHRA PRADESH,0208,PRAKASAM,2033781,218.319493377,10,1460,0.959875,78,24,46224,1169410,252193,194818,31061,21402,1.76423,2555.77409249998,109098,173582,367617,707321,0,453678,838340,46302,2553.04998749998,660562,34,25.88,67.42,100,NA
2025-2026,April,02,ANDHRA PRADESH,0213,KURNOOL,839363,237.788923308903,10,1084,0,274,17,49877,916521,173974,106845,19754,7658,5.15,2184.53541779999,85913,136559,259828,510416,0,342922,653011,50151,2179.38541779999,506417,39,69.09,87.67,100,NA
2025-2026,April,02,ANDHRA PRADESH,0221,NANDYAL,979833,229.45383898637,12,815,0,362,10,44079,886161,232685,110691,53306,13694,0,2033.3304341,70739,108427,207544,401373,0,272191,509784,44441,2033.3304341,508446,39,73.78,96.8,100,NA
2025-2026,April,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,1408521,255.287562710782,15,2873,0,175,0,51181,1996148,232421,44733,725088,137580,0,5095.91757730003,131846,200785,191852,372009,0,216068,407996,51356,5095.91757730003,1209736,76,42.5,89.79,100,NA
2025-2026,May,02,ANDHRA PRADESH,0206,KRISHNA,1659726,282.881897908053,16,1462,0,146,0,41746,1666008,644157,121089,24772,5693,0,4712.83504969999,100862,165578,178450,329947,0,222212,393405,41892,4712.83504969999,911206,22,86.52,94.03,100,NA
2025-2026,May,02,ANDHRA PRADESH,0208,PRAKASAM,5230658,236.948446096827,12,1734,0.959875,111,7,46514,1630906,354664,195181,51008,21483,1.76423,3867.13052929993,132684,215285,368448,709121,0,453910,839103,46625,3864.40642429992,913834,34,26.42,73.84,100,NA
2025-2026,May,02,ANDHRA PRADESH,0211,Y.S.R,2975960,265.851701584265,16,1204,0,134,14,41322,1404879,258364,77067,16457,5305,0,3734.8947267,86657,126840,184484,345841,0,245547,451728,41456,3734.8947267,905474,38,40.16,95.49,100,NA
2025-2026,May,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,2285778,270.909097220036,12,1003,0,101,25,39773,603713,77853,64296,32903,24832,0,1635.5134381,49710,79456,210265,399897,0,282707,523750,39874,1635.5134381,329204,58,50.74,83.74,100,NA
2025-2026,May,02,ANDHRA PRADESH,0224,TIRUPATI,1729118,287.231807757241,11,882,0,337,30,39579,775353,303740,149270,56159,31811,0,2227.0604384,67172,87636,215892,385814,0,274833,474783,39916,2227.0604384,514768,45,31.99,91.39,100,NA
2025-2026,May,02,ANDHRA PRADESH,0202,VIZIANAGARAM,7715458,181.367197794016,12,4729,0,205,7,48408,2599295,300953,72937,62937,17705,0,4714.26850389998,213050,276170,343604,630269,0,388468,693671,48613,4714.26850389998,1905017,44,9.15,91.17,100,NA
2025-2026,May,02,ANDHRA PRADESH,0207,GUNTUR,1061237,249.905174320461,11,200,0,51,33,18597,232216,96771,69658,6273,5558,0,580.319799600001,20234,29504,88444,155115,0,136869,229442,18648,580.319799600001,129460,43,91.63,90.79,100,NA
2025-2026,May,02,ANDHRA PRADESH,0208,PRAKASAM,5230658,223.331942233712,11,1650,0.959875,109,8,46445,1468469,320475,195065,48310,21472,1.76423,3282.28444379997,125227,202255,368186,708556,0,453856,838880,46554,3279.56033879997,820511,34,26.08,71.8,100,NA
2025-2026,May,02,ANDHRA PRADESH,0210,CHITTOOR,1747323,272.6814064044,12,530,0.0008438,645,1,52162,541409,155799,109475,17686,13423,5,1481.3225194,42905,58382,207205,383872,0,274917,493223,52807,1476.3216756,341832,62,63.52,80.83,100,NA
2025-2026,May,02,ANDHRA PRADESH,0211,Y.S.R,2975960,261.481298035484,15,1173,0,126,14,41262,1291259,240023,76991,14861,5305,0,3376.40079420002,83975,122511,184310,345486,0,245499,451601,41388,3376.40079420002,832954,38,40.71,95.81,100,NA
2025-2026,May,02,ANDHRA PRADESH,0218,NTR,1034238,286.285030655337,12,970,0,7,3,26340,861677,296759,121997,66923,23587,0,2466.85226359998,67907,100036,174176,322460,0,215749,389525,26347,2466.85226359998,516837,36,75.4,90.7,100,NA
2025-2026,May,02,ANDHRA PRADESH,0219,BAPATLA,2625037,274.426907115215,12,743,0,1134,5,38293,670788,181417,136789,26553,14799,0,1840.82276170001,55677,86042,207040,385743,0,271845,480197,39427,1840.82276170001,358138,23,67.84,83.92,100,NA
2025-2026,May,02,ANDHRA PRADESH,0224,TIRUPATI,1729118,287.209009570768,11,882,0,337,30,39552,774755,303251,149283,56104,31812,0,2225.1661621,67161,87619,215908,385840,0,274814,474743,39889,2225.1661621,514271,45,32.01,91.41,100,NA
2025-2026,April,02,ANDHRA PRADESH,0202,VIZIANAGARAM,3034040,176.26472637322,9,4261,0,160,11,47981,1837978,214103,72853,47204,17687,0,3239.70689249998,190928,242636,343165,629391,0,388301,693201,48141,3239.70689249998,1355235,44,10.74,88.97,100,NA
2025-2026,April,02,ANDHRA PRADESH,0208,PRAKASAM,2033781,241.17763474827,9,1262,0.959875,78,37,45703,916765,195580,194420,25163,21337,1.76423,2213.75624819998,95596,151311,366948,705891,0,453368,837476,45781,2211.03214319998,514486,34,23.91,63.79,100,NA
2025-2026,April,02,ANDHRA PRADESH,0212,ANANTAPUR,1095336,279.891691849649,10,1046,0,137,62,50179,573006,86988,93658,24662,17360,0,1603.7961878,55538,86765,251281,473766,0,322599,599803,50316,1603.7961878,320346,50,46.67,80.54,100,NA
2025-2026,April,02,ANDHRA PRADESH,0216,KONASEEMA,454947,294.786025297538,7,975,0,1499,4,24086,329202,166235,114328,2975,2264,0,970.441491,41204,49076,148206,245979,0,234328,361679,25585,970.441491,221955,38,73.54,76.02,100,NA
2025-2026,April,02,ANDHRA PRADESH,0218,NTR,366507,295.419685717953,9,789,0,7,7,25726,537479,186863,121580,40163,23445,0,1587.8187726,54178,77877,173332,320747,0,215562,388971,25733,1587.8187726,319339,36,74.02,88.96,100,NA
2025-2026,April,02,ANDHRA PRADESH,0226,KAKINADA,770942,274.292502305591,7,1295,0,323,27,29825,459752,132922,91140,6734,8605,2,1263.0652652,57609,70587,199630,342057,0,294587,482035,30148,1261.0652652,243544,48,50.24,77.65,100,NA
2025-2026,April,02,ANDHRA PRADESH,0202,VIZIANAGARAM,3034040,178.999710878839,9,4294,0,174,10,48131,1890799,221089,72877,49013,17692,0,3384.52474329997,192875,245556,343188,629518,0,388341,693358,48305,3384.52474329997,1393630,44,10.74,88.65,100,NA
2025-2026,April,02,ANDHRA PRADESH,0207,GUNTUR,397285,230.226171568264,9,162,0,50,37,18458,148489,63968,69527,3782,5547,0,341.8605399,14998,21382,88186,154662,0,136794,229278,18508,341.8605399,82187,43,95.21,93.22,100,NA
2025-2026,April,02,ANDHRA PRADESH,0215,ANAKAPALLI,1217190,271.406059501868,10,2125,0,84,30,39828,1374377,103885,34470,26861,16635,0.5,3730.64245839999,131457,166192,233285,384315,0,290263,458076,39912,3730.14245839999,985473,57,23.36,92.56,100,NA
2025-2026,April,02,ANDHRA PRADESH,0223,ANNAMAYYA,700410,266.974036315104,11,563,0,118,9,39081,675091,137263,67058,26718,12672,0,1802.3176915,58361,80315,197351,341721,0,252716,426052,39199,1802.3176915,395703,56,60.17,80.32,100,NA
2025-2026,April,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,1408521,256.274505671547,13,2807,0,173,0,50975,1720607,202226,44680,629652,137474,0,4409.47708380003,127897,193219,191687,371680,0,216030,407892,51148,4409.47708380003,1042235,76,43.43,88.88,100,NA
2025-2026,April,02,ANDHRA PRADESH,0211,Y.S.R,1024708,266.968682336436,12,1060,0,125,20,40635,960746,177556,76838,10924,5293,0,2564.89093680002,75221,108641,183654,344251,0,245269,451085,40760,2564.89093680002,621184,39,40.72,94.59,100,NA
2025-2026,April,02,ANDHRA PRADESH,0212,ANANTAPUR,1095336,278.87112114899,10,1046,0,173,62,50179,579361,87925,93665,24685,17360,0,1615.6705162,55747,87103,251292,473786,0,322664,599953,50352,1615.6705162,323914,50,46.91,80.64,100,NA
2025-2026,April,02,ANDHRA PRADESH,0213,KURNOOL,839363,265.390378054628,9,963,0,268,20,49332,717436,138619,106697,15489,7623,5.15,1909.1561127,74920,118243,259217,509125,0,342820,652687,49600,1904.0061127,392356,39,65.89,86.71,100,NA
2025-2026,April,02,ANDHRA PRADESH,0215,ANAKAPALLI,1217190,272.777629457548,10,2116,0,84,31,39767,1345190,101401,34459,26546,16631,0.5,3669.87739369999,130959,165553,233263,384230,0,290144,457848,39851,3669.37739369999,963191,57,23.56,92.43,100,NA
2025-2026,May,02,ANDHRA PRADESH,0209,NELLORE,2129732,192.903494198216,11,680,0,189,55,53962,786913,206603,136774,30775,29414,0,1517.98267330001,71004,93894,268935,471195,0,359525,609139,54151,1517.98267330001,504633,40,42.35,66.84,100,NA
2025-2026,May,02,ANDHRA PRADESH,0218,NTR,1034238,238.617073585013,12,944,0,7,7,26267,815397,281494,121919,62998,23547,0,1945.67645949999,65718,96528,174052,322203,0,215698,389402,26274,1945.67645949999,489604,36,77,92.24,100,NA
2025-2026,May,02,ANDHRA PRADESH,0220,PALNADU,2324842,266.230312200606,11,525,0,375,10,36314,535457,99809,117822,49111,41002,0,1425.5488428,45670,71479,253522,457179,0,344783,593638,36689,1425.5488428,270294,28,67.11,75.37,100,NA
2025-2026,May,02,ANDHRA PRADESH,0223,ANNAMAYYA,1976089,264.745196292271,12,619,0,121,9,39363,822498,171954,67112,31508,12677,0,2177.5239446,63336,87624,197573,342138,0,252869,426363,39484,2177.5239446,483549,56,61.93,82.29,100,NA
2025-2026,May,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,3756594,256.742637107211,16,2918,0,178,0,51287,2164000,253698,44783,761573,137620,0,5555.91066700004,134444,205920,192005,372299,0,216114,408095,51465,5555.91066700004,1311113,76,42.09,90.26,100,NA
2025-2026,April,02,ANDHRA PRADESH,0204,EAST GODAVARI,466076,272.05793462028,10,907,0,1144,3,21846,381678,138592,71411,9489,3240,0,1038.38528369999,37340,43214,123230,196996,0,169303,261280,22990,1038.38528369999,216379,49,39.73,88.98,100,NA
2025-2026,April,02,ANDHRA PRADESH,0207,GUNTUR,397285,250.106917209598,9,159,0,50,37,17645,132153,57681,69505,3349,5545,0,330.5237943,14451,20553,88167,154594,0,136716,229108,17695,330.5237943,73342,45,96.29,94.06,100,NA
2025-2026,April,02,ANDHRA PRADESH,0208,PRAKASAM,2033781,229.873555390882,9,1242,0.1791,78,48,45172,896059,192962,194348,24670,21335,1.76423,2061.74601169998,93717,148186,366875,705646,0,453190,837025,45250,2059.80268169998,502867,34,23.53,63.39,100,NA
2025-2026,April,02,ANDHRA PRADESH,0221,NANDYAL,979833,258.552934838333,10,739,0,255,18,43412,657365,175918,110544,39061,13625,0,1699.6365001,62591,94919,207041,400301,0,271881,509043,43667,1699.6365001,376255,40,72.41,96.28,100,NA
2025-2026,May,02,ANDHRA PRADESH,0201,SRIKAKULAM,6837297,230.923759468074,19,5088,0,608,2,54388,5349028,463842,59614,292210,39784,0.3481,12352.5246525999,270908,361939,376684,665657,2,442900,754553,54996,12352.1765525999,3845656,46,22.2,94.61,100,NA
2025-2026,May,02,ANDHRA PRADESH,0204,EAST GODAVARI,1444139,274.002853081487,15,1162,0,1371,0,22499,833639,304725,71567,20271,3255,0,2284.19464439997,52196,62691,123791,197794,0,169250,261197,23870,2284.19464439997,477487,48,40.35,90.1,100,NA
2025-2026,May,02,ANDHRA PRADESH,0212,ANANTAPUR,3446473,280.830110922738,15,1802,0,238,9,51785,1492300,244879,94206,57245,17487,0.56062,4191.38836530002,97599,157796,253133,477635,0,323393,601756,52023,4190.82774530002,835110,49,46.2,87.02,100.02,NA
2025-2026,May,02,ANDHRA PRADESH,0215,ANAKAPALLI,3349146,271.338920169827,16,2595,0,200,19,40694,2688858,204441,34687,62045,16684,0.5,7296.41826210001,159064,209609,235066,387403,0,291207,459871,40894,7295.91826210001,1904660,56,22.02,92.36,100,NA
2025-2026,May,02,ANDHRA PRADESH,0216,KONASEEMA,1971736,296.445922788981,13,1613,0,1601,1,25190,943829,491360,115469,8448,2299,0,2797.94258860001,72368,91400,149769,248697,0,235039,363080,26791,2797.94258860001,643702,36,85.09,87.77,100,NA
2025-2026,May,02,ANDHRA PRADESH,0218,NTR,1034238,293.713025671664,14,1161,0,8,2,27742,1203389,417967,122527,96444,23733,0,3534.51024249998,83704,126216,175106,324515,0,216132,390630,27750,3534.51024249998,726768,34,76.42,91.94,100,NA
2025-2026,May,02,ANDHRA PRADESH,0220,PALNADU,2324842,286.622574381963,12,799,0,398,7,39028,930165,181538,118638,88459,41625,0,2666.06286899998,72269,116080,256206,462285,0,346824,597790,39426,2666.06286899998,476212,27,72.19,83.16,100,NA
2025-2026,May,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,429324,254.383432650442,18,163,0,14,3,5552,382445,29542,4295,2234,467,0,972.876718999984,20708,26488,31330,50095,0,36738,56641,5566,972.876718999984,287264,56,3.66,98.65,100,NA
2025-2026,May,02,ANDHRA PRADESH,0205,WEST GODAVARI,1120280,281.097410772458,12,694,0,1008,2,26077,695273,202975,63154,5756,1854,6,1960.39440079999,54112,71314,133844,231205,0,186176,306592,27085,1954.39440079999,413352,40,83.06,87.54,100,NA
2025-2026,May,02,ANDHRA PRADESH,0209,NELLORE,2129732,222.318713717191,12,772,0,211,23,54733,1057629,277896,136939,41609,29466,0.4828,2351.78998869999,84703,113472,269277,472033,0,359732,609801,54944,2351.30718869999,674582,40,41.22,68.14,100,NA
2025-2026,May,02,ANDHRA PRADESH,0211,Y.S.R,2975960,264.512900967652,17,1311,0,134,14,41809,1677361,309718,77201,20269,5309,0,4436.83624080001,94130,139198,184908,346722,0,245627,451953,41943,4436.83624080001,1081352,38,40.26,96.06,100,NA
2025-2026,May,02,ANDHRA PRADESH,0218,NTR,1034238,265.076291695095,13,1057,0,8,2,27356,1027429,351576,122201,80769,23666,0,2723.47069299999,74535,111215,174643,323467,0,215978,390113,27364,2723.47069299999,620940,34,75.8,90.97,100,NA
2025-2026,May,02,ANDHRA PRADESH,0224,TIRUPATI,1729118,266.985128264076,13,960,0,355,28,40106,978723,385913,149343,74119,31823,0,2613.04485690001,73972,97379,216007,386049,0,274755,474762,40461,2613.04485690001,650653,45,31.69,92.66,100,NA
2025-2026,May,02,ANDHRA PRADESH,0213,KURNOOL,2722787,254.534760414946,12,1273,0,277,8,50691,1229939,229769,107082,27281,7694,5.38551,3136.00779689998,100113,161153,260581,512191,0,343473,654454,50968,3130.62228689999,677037,39,67.8,88.48,100,NA
2025-2026,May,02,ANDHRA PRADESH,0223,ANNAMAYYA,1976089,271.740785083752,14,692,0,133,8,40042,987487,204189,67204,36441,12675,0,2683.40492639999,69095,96215,197871,342829,0,253211,427163,40175,2683.40492639999,579970,55,62.23,82.94,100,NA
2025-2026,May,02,ANDHRA PRADESH,0202,VIZIANAGARAM,7715458,188.394236965252,15,5244,0,255,6,48925,3674505,418617,73013,91204,17714,0.25932,6922.81497700005,233908,310057,344099,631239,0,388681,694238,49180,6922.55565700005,2674028,44,7.56,91.48,100,NA
2025-2026,May,02,ANDHRA PRADESH,0204,EAST GODAVARI,1444139,274.590718495737,14,1110,0,1352,0,22425,735829,268694,71530,17297,3255,0,2020.518138,49300,58799,123717,197669,0,169188,261073,23777,2020.518138,420760,48,41.02,90.01,100,NA
2025-2026,May,02,ANDHRA PRADESH,0205,WEST GODAVARI,1120280,282.663325644401,12,709,0,1008,2,26183,707944,205423,63171,5819,1854,6,2007.0980541,54539,71964,133882,231279,0,186213,306667,27191,2001.0980541,420710,40,80.34,84.59,100,NA
2025-2026,May,02,ANDHRA PRADESH,0208,PRAKASAM,5230658,238.206261642805,13,2051,1.535875,133,6,47561,2080791,454038,195892,61952,21555,2.02423,4960.13455869994,155379,253749,369555,711519,0,454442,840576,47694,4956.57445369994,1172968,33,27.43,77.97,100,NA
2025-2026,May,02,ANDHRA PRADESH,0217,ELURU,3347272,258.206016424995,14,1807,0,510,10,43600,1966515,635045,202558,180969,53166,0,5077.66004389999,134018,198619,313994,585412,0,381054,687765,44110,5077.66004389999,1166245,42,43.82,89.15,100,NA
2025-2026,May,02,ANDHRA PRADESH,0219,BAPATLA,2625037,262.313687969974,13,955,0,1299,1,40537,1024927,292827,137260,39049,14863,0,2688.52381270001,73653,116776,208108,387737,0,272238,481001,41836,2688.52381270001,548363,21,71.25,87.76,100,NA
2025-2026,May,02,ANDHRA PRADESH,0209,NELLORE,2129732,243.242372025273,11,740,0,195,26,54441,963198,248764,136866,37240,29437,0.4828,2343.38846249999,80305,107183,269123,471659,0,359653,609541,54636,2342.90566249999,616295,40,41.35,68.81,100,NA
2025-2026,May,02,ANDHRA PRADESH,0210,CHITTOOR,1747323,272.284097139902,13,542,0.0008438,658,1,52294,601483,175133,109530,19503,13428,5.32991,1643.0733098,45351,61972,207316,384062,0,274948,493273,52952,1637.742556,380351,62,64.28,81.93,100,NA
2025-2026,May,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,4555915,288.731834756893,13,2100,0,194,1,73104,1336673,27320,9784,1225369,412081,0,3859.4004776,96736,157621,229079,450024,2,255226,489109,73298,3859.4004776,695943,83,63.59,76.72,100,NA
2025-2026,May,02,ANDHRA PRADESH,0217,ELURU,3347272,279.005765481696,12,1606,0,408,15,43348,1523864,495529,202231,137789,53074,0,4251.66841809999,117270,171264,313230,584002,0,380852,687305,43756,4251.66841809999,904576,42,44.28,87.4,100,NA
2025-2026,May,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,2285778,274.73827025012,12,1005,0,113,25,39873,611626,79353,64299,33076,24834,0,1680.3706928,49966,79861,210285,399950,0,282754,523849,39986,1680.3706928,333867,58,49.89,83.05,100,NA
2025-2026,May,02,ANDHRA PRADESH,0207,GUNTUR,1061237,249.909479096688,11,200,0,51,33,18978,232212,96776,69659,6273,5559,0,580.319799600001,20238,29508,88441,155128,0,136888,229493,19029,580.319799600001,129446,42,91.61,90.99,100,NA
2025-2026,May,02,ANDHRA PRADESH,0212,ANANTAPUR,3446473,278.098169341818,12,1431,0,230,21,50912,990163,155803,93909,38851,17416,0.56062,2754.18579650002,76622,121900,252039,475384,0,323055,600945,51142,2753.62517650002,554208,50,46.36,84.71,100,NA
2025-2026,May,02,ANDHRA PRADESH,0213,KURNOOL,2722787,266.90096470846,12,1205,0,274,8,50315,1159003,217516,106985,25905,7679,5.38551,3098.77569799999,96163,154503,260345,511654,0,343354,654146,50589,3093.39018799999,637512,39,67.09,87.84,100,NA
2025-2026,May,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,4555915,289.996932103851,13,2096,0,194,1,73057,1329015,27290,9784,1217788,412019,0,3854.1027272,96482,157199,229063,449961,2,255192,489010,73251,3854.1027272,691927,83,63.51,76.67,100,NA
2025-2026,May,02,ANDHRA PRADESH,0215,ANAKAPALLI,3349146,269.130158812867,13,2397,0,129,24,40213,1997823,151549,34556,42852,16670,0.5,5377.24421269998,145957,188331,234015,385512,0,290641,458791,40342,5376.74421269998,1423661,57,23.01,92.31,100,NA
2025-2026,May,02,ANDHRA PRADESH,0219,BAPATLA,2625037,276.798136201228,12,765,0,1204,2,38753,702769,187790,136806,27884,14815,0,1945.25149380001,57671,89380,207128,385923,0,272033,480546,39957,1945.25149380001,374897,22,68.13,84.02,100,NA
2025-2026,May,02,ANDHRA PRADESH,0223,ANNAMAYYA,1976089,271.307721962616,13,671,0,128,8,39832,938176,193229,67183,34887,12679,0,2545.34393359999,67744,94126,197800,342672,0,253127,426970,39960,2545.34393359999,551463,56,62.99,83.23,100,NA
2025-2026,May,02,ANDHRA PRADESH,0201,SRIKAKULAM,6837297,232.95435383443,23,5314,101.09919,629,2,55790,6656831,579450,59749,368090,39861,0.3481,15608.8249319001,282294,381821,377745,667667,9,443228,755397,56419,15507.3776419001,4766199,46,21.64,95.19,100,NA
2025-2026,May,02,ANDHRA PRADESH,0212,ANANTAPUR,3446473,281.487687875856,18,2105,127.2304,273,7,52915,2100363,354473,94470,77364,17562,0.56062,6040.05426569997,113829,186354,254173,479733,2,323912,602947,53188,5912.26324569997,1174965,49,46.1,89.05,100.01,NA
2025-2026,May,02,ANDHRA PRADESH,0226,KAKINADA,2439093,278.367512916157,14,2124,34.62833,580,4,31222,1488446,440975,92000,27891,8647,2,4179.97844130003,102364,133645,202024,346298,0,295712,484208,31802,4143.35011130003,801700,46,51.41,84.56,100,NA
2025-2026,May,02,ANDHRA PRADESH,0202,VIZIANAGARAM,7715458,192.344598919458,17,5459,0,276,4,49301,4288029,482050,73041,107271,17730,0.25932,8248.05150160005,243463,326302,344339,631699,0,388738,694412,49577,8247.79218160005,3109009,43,7.18,91.63,100,NA
2025-2026,May,02,ANDHRA PRADESH,0205,WEST GODAVARI,1120280,272.459239440604,13,749,0,1107,2,26627,827391,242123,63267,6739,1856,6,2260.30322580001,59276,78820,134154,231764,0,186420,307018,27734,2254.30322580001,493624,39,82.19,86.51,100,NA
